transformer_id,location,voltage,current,frequency,power_mw,temperature,status,phase,timestamp
TRF-0001,Riyadh-North,226.66,225.7,59.91,51.16,57.0,NORMAL,A,2026-05-25 00:58:55
TRF-0002,Riyadh-East,239.45,150.98,60.1,36.15,44.0,NORMAL,B,25-05-2026 00:58
TRF-0003,Jeddah-Main,231.02,448.05,59.95,103.51,39.2,NORMAL,C,25-05-2026 00:58
TRF-0004,Jeddah-Industrial,220.01,1170.27,59.96,256.91,122.1,OVERLOAD,A,25-05-2026 00:58
TRF-0005,Dammam-Central,220.15,485.39,,106.86,46.7,NORMAL,A,2026/05/25 00:58:55
TRF-0006,Dammam-Port,228.83,493.92,60.19,113.02,54.0,NORMAL,B,2026-05-25 00:58:55
TRF-0007,Mecca-Haram,236.39,387.14,59.91,91.52,54.5,NORMAL,B,05/25/2026 00:58:55
TRF-0008,Medina-Central,-230,213.56,60.14,50.95,32.6,NORMAL,C,2026/05/25 00:58:55
TRF-0009,Abha-City,234.92,210.89,60.01,49.54,64.5,NORMAL,B,25-05-2026 00:58
TRF-0010,Tabuk-Center,227.57,394.83,60.19,89.85,37.3,NORMAL,A,25-05-2026 00:58
TRF-0001,Riyadh-North,225.01,426.56,59.85,95.98,63.5,NORMAL,B,2026/05/25 00:58:55
TRF-0002,Riyadh-East,239.18,399.5,59.88,95.55,50.4,NORMAL,C,2026/05/25 00:58:55
TRF-0003,Jeddah-Main,236.94,289.51,59.95,68.6,39.1,NORMAL,B,05/25/2026 00:58:55
TRF-0004,Jeddah-Industrial,226.03,485.43,60.16,109.72,46.5,NORMAL,A,25-05-2026 00:58
TRF-0005,Dammam-Central,234.56,159.87,60.09,37.5,63.7,NORMAL,B,2026-05-25 00:58:55
TRF-0006,Dammam-Port,225.67,295.88,60.19,66.77,49.8,NORMAL,B,05/25/2026 00:58:55
TRF-0007,Mecca-Haram,226.09,357.44,60.03,80.81,38.7,NORMAL,A,2026/05/25 00:58:55
TRF-0008,Medina-Central,233.88,197.42,60.03,46.17,,NORMAL,A,20260525T005855
TRF-0009,Abha-City,236.23,438.59,59.93,103.61,36.2,NORMAL,A,2026-05-25 00:58:55
TRF-0010,Tabuk-Center,223.89,461.01,60.12,103.22,40.3,NORMAL,C,05/25/2026 00:58:55
TRF-0001,Riyadh-North,234.72,410.68,60.02,96.39,57.3,NORMAL,B,2026/05/25 00:58:55
TRF-0002,Riyadh-East,232.5,286.29,60.2,,56.0,NORMAL,C,2026-05-25 00:58:55
TRF-0003,Jeddah-Main,235.58,295.78,60.09,69.68,55.3,NORMAL,B,25-05-2026 00:58
TRF-0004,Jeddah-Industrial,227.85,184.05,59.97,41.94,38.1,NORMAL,B,2026/05/25 00:58:55
TRF-0005,Dammam-Central,229.85,337.57,59.94,77.59,59.2,NORMAL,B,05/25/2026 00:58:55
TRF-0006,Dammam-Port,238.68,112.43,59.84,26.83,,NORMAL,B,20260525T005855
TRF-0007,Mecca-Haram,239.91,243.45,60.04,58.41,57.1,NORMAL,B,05/25/2026 00:58:55
TRF-0008,Medina-Central,232.87,147.44,59.9,34.33,53.4,NORMAL,B,2026/05/25 00:58:55
TRF-0009,Abha-City,222.02,406.47,60.0,90.24,47.0,NORMAL,A,20260525T005855
TRF-0010,Tabuk-Center,236.17,226.0,59.84,53.37,57.5,NORMAL,A,20260525T005855
TRF-0010,Tabuk-Center,236.17,226.0,59.84,53.37,57.5,NORMAL,A,20260525T005855
TRF-0001,Riyadh-North,230.61,120.1,60.0,27.7,46.8,NORMAL,B,20260525T005856
TRF-0002,Riyadh-East,229.8,186.0,59.93,42.74,61.4,NORMAL,A,25-05-2026 00:58
TRF-0003,Jeddah-Main,228.69,332.99,60.2,76.15,32.6,NORMAL,B,20260525T005856
TRF-0004,Jeddah-Industrial,237.97,411.24,59.99,97.86,36.3,NORMAL,A,2026/05/25 00:58:56
TRF-0005,Dammam-Central,226.84,295.42,60.14,67.01,49.0,NORMAL,A,20260525T005856
TRF-0006,Dammam-Port,237.77,364.59,59.85,86.69,41.0,NORMAL,A,05/25/2026 00:58:56
TRF-0007,Mecca-Haram,226.46,460.75,60.12,104.34,46.3,NORMAL,B,2026-05-25 00:58:56
TRF-0008,Medina-Central,224.34,284.5,,63.82,34.0,NORMAL,C,25-05-2026 00:58
TRF-0009,Abha-City,234.0,286.66,59.89,67.08,58.4,NORMAL,A,05/25/2026 00:58:56
TRF-0010,Tabuk-Center,233.01,236.19,59.91,55.03,53.7,NORMAL,C,20260525T005856
TRF-0001,Riyadh-North,232.78,257.47,60.12,,43.9,NORMAL,B,20260525T005856
TRF-0002,Riyadh-East,221.39,487.06,60.2,107.83,40.5,NORMAL,C,2026/05/25 00:58:56
TRF-0003,Jeddah-Main,220.27,163.82,59.89,36.08,32.1,NORMAL,A,05/25/2026 00:58:56
TRF-0004,Jeddah-Industrial,239.82,333.27,60.11,79.92,32.2,NORMAL,B,2026-05-25 00:58:56
TRF-0005,Dammam-Central,221.52,108.73,59.85,24.09,38.4,NORMAL,B,05/25/2026 00:58:56
TRF-0006,Dammam-Port,228.11,296.65,60.01,67.67,52.1,NORMAL,B,2026/05/25 00:58:56
TRF-0007,Mecca-Haram,234.24,149.79,59.81,35.09,63.9,NORMAL,A,2026-05-25 00:58:56
TRF-0008,Medina-Central,220.53,119.84,59.88,26.43,55.7,NORMAL,B,2026-05-25 00:58:56
TRF-0009,Abha-City,223.8,256.81,59.91,57.47,62.2,NORMAL,C,25-05-2026 00:58
TRF-0010,Tabuk-Center,223.3,257.23,59.88,57.44,35.7,NORMAL,C,20260525T005856
TRF-0001,Riyadh-North,222.86,271.79,60.16,,56.3,NORMAL,C,25-05-2026 00:58
TRF-0002,Riyadh-East,226.42,404.44,60.02,91.57,51.1,NORMAL,C,2026/05/25 00:58:56
TRF-0003,Jeddah-Main,238.62,202.87,60.08,48.41,50.2,NORMAL,C,2026-05-25 00:58:56
TRF-0004,Jeddah-Industrial,232.41,301.07,60.02,69.97,250.0,OVERHEAT,C,2026-05-25 00:58:56
TRF-0005,Dammam-Central,234.18,421.14,59.91,98.62,37.1,NORMAL,A,2026/05/25 00:58:56
