transformer_id,location,voltage,current,frequency,power_mw,temperature,status,phase,timestamp
TRF-0004,Jeddah-Industrial,220.28,425.63,60.01,93.76,52.9,NORMAL,C,2026-05-25 00:59:11
TRF-0005,Dammam-Central,227.4,341.71,59.83,77.7,56.4,NORMAL,C,05/25/2026 00:59:11
TRF-0006,Dammam-Port,239.59,271.42,,65.03,57.3,NORMAL,C,05/25/2026 00:59:11
TRF-0007,Mecca-Haram,220.01,420.51,60.05,92.52,33.5,NORMAL,A,25-05-2026 00:59

TRF-0008,Medina-Central,235.82,195.22,60.12,46.04,56.9,NORMAL,A,20260525T005911
TRF-0009,Abha-City,223.89,172.64,59.91,38.65,43.4,NORMAL,C,2026-05-25 00:59:11
TRF-0010,Tabuk-Center,238.47,470.68,59.94,112.24,250.0,OVERHEAT,B,20260525T005911
TRF-0001,Riyadh-North,238.11,212.34,59.81,50.56,55.8,NORMAL,B,25-05-2026 00:59
TRF-0002,Riyadh-East,223.46,490.36,59.88,109.58,42.8,NORMAL,B,25-05-2026 00:59
TRF-0003,Jeddah-Main,236.1,259.23,60.06,61.2,61.9,NORMAL,C,05/25/2026 00:59:11
TRF-0004,Jeddah-Industrial,225.55,360.93,59.94,81.41,59.3,NORMAL,C,2026-05-25 00:59:11
TRF-0005,Dammam-Central,234.09,352.2,59.86,82.45,58.0,NORMAL,C,25-05-2026 00:59
TRF-0006,Dammam-Port,,131.16,60.06,28.94,48.0,NORMAL,C,2026/05/25 00:59:11
TRF-0007,Mecca-Haram,230.84,238.67,60.08,55.09,30.3,NORMAL,C,2026-05-25 00:59:11
TRF-0008,Medina-Central,221.66,294.49,60.05,65.28,35.5,NORMAL,A,2026/05/25 00:59:11
TRF-0009,Abha-City,237.98,341.2,59.94,81.2,32.7,NORMAL,C,2026/05/25 00:59:11
TRF-0010,Tabuk-Center,231.96,0.0,59.98,0.0,38.5,OUTAGE,A,2026/05/25 00:59:11
TRF-0001,Riyadh-North,225.42,279.32,60.13,62.96,62.9,NORMAL,A,20260525T005911
TRF-0002,Riyadh-East,231.64,119.24,60.01,27.62,37.6,NORMAL,C,2026/05/25 00:59:11
TRF-0003,Jeddah-Main,234.03,370.68,60.03,86.75,63.5,NORMAL,B,20260525T005911
TRF-0004,Jeddah-Industrial,228.53,129.82,59.97,29.67,56.9,NORMAL,B,05/25/2026 00:59:11
TRF-0005,Dammam-Central,221.87,106.63,60.08,23.66,49.0,NORMAL,A,25-05-2026 00:59
TRF-0006,Dammam-Port,231.69,214.18,59.89,49.62,42.1,NORMAL,A,25-05-2026 00:59
TRF-0006,Dammam-Port,231.69,214.18,59.89,49.62,42.1,NORMAL,A,25-05-2026 00:59
TRF-0007,Mecca-Haram,-230,329.13,60.1,76.37,34.2,NORMAL,C,2026-05-25 00:59:11
TRF-0008,Medina-Central,233.04,498.66,59.94,116.21,62.9,NORMAL,C,25-05-2026 00:59
TRF-0009,Abha-City,232.83,116.41,59.96,27.1,42.6,NORMAL,A,25-05-2026 00:59
TRF-0010,Tabuk-Center,229.15,355.94,59.99,81.56,30.3,NORMAL,C,2026/05/25 00:59:11
TRF-0010,Tabuk-Center,229.15,355.94,59.99,81.56,30.3,NORMAL,C,2026/05/25 00:59:11
TRF-0001,Riyadh-North,223.9,384.68,59.91,86.13,56.2,NORMAL,A,2026/05/25 00:59:11
TRF-0002,Riyadh-East,220.2,291.4,59.83,64.17,63.4,NORMAL,C,2026-05-25 00:59:11
TRF-0003,Jeddah-Main,222.77,280.14,59.82,62.41,43.8,NORMAL,B,20260525T005911
TRF-0004,Jeddah-Industrial,234.44,268.74,59.95,63.0,47.6,NORMAL,C,20260525T005911
TRF-0005,Dammam-Central,237.21,284.7,59.9,67.53,52.9,NORMAL,C,20260525T005911
TRF-0006,Dammam-Port,220.97,499.23,59.8,110.31,60.3,NORMAL,B,20260525T005911
TRF-0007,Mecca-Haram,220.54,250.97,59.94,55.35,250.0,OVERHEAT,A,2026/05/25 00:59:11
TRF-0008,Medina-Central,224.82,145.28,60.13,32.66,45.5,NORMAL,C,05/25/2026 00:59:11
TRF-0009,Abha-City,234.79,206.45,60.15,48.47,40.0,NORMAL,B,2026/05/25 00:59:11
TRF-0010,Tabuk-Center,-230,267.19,59.98,62.89,56.2,NORMAL,B,05/25/2026 00:59:11
TRF-0001,Riyadh-North,227.47,271.68,60.03,61.8,56.6,NORMAL,C,2026/05/25 00:59:11
TRF-0002,Riyadh-East,223.15,165.27,59.94,36.88,55.7,NORMAL,B,05/25/2026 00:59:11
TRF-0003,Jeddah-Main,221.93,142.93,60.01,31.72,44.9,NORMAL,C,20260525T005911
TRF-0004,Jeddah-Industrial,232.33,449.75,60.08,104.49,50.5,NORMAL,A,2026/05/25 00:59:11
TRF-0005,Dammam-Central,238.64,342.26,60.04,81.68,46.0,NORMAL,C,2026-05-25 00:59:11
TRF-0006,Dammam-Port,230.45,303.69,60.19,69.99,41.0,NORMAL,A,20260525T005911
TRF-0007,Mecca-Haram,230.6,129.04,60.06,29.76,58.0,NORMAL,A,2026/05/25 00:59:11
TRF-0008,Medina-Central,222.66,379.24,60.03,84.44,32.2,NORMAL,A,25-05-2026 00:59
TRF-0009,Abha-City,229.9,448.47,59.98,103.1,46.0,NORMAL,A,2026/05/25 00:59:11
TRF-0010,Tabuk-Center,232.02,250.66,60.2,58.16,57.6,NORMAL,A,25-05-2026 00:59
TRF-0001,Riyadh-North,227.63,481.82,59.87,109.68,48.8,NORMAL,A,2026/05/25 00:59:11
TRF-0002,Riyadh-East,238.52,276.83,59.92,66.03,63.6,NORMAL,C,2026-05-25 00:59:11
TRF-0003,Jeddah-Main,,438.0,60.04,103.23,54.3,NORMAL,A,2026/05/25 00:59:11
TRF-0004,Jeddah-Industrial,234.61,225.43,60.13,52.89,40.6,NORMAL,C,2026/05/25 00:59:11
TRF-0005,Dammam-Central,234.68,199.28,59.88,46.77,63.6,NORMAL,B,2026/05/25 00:59:11
TRF-0006,Dammam-Port,232.94,280.43,59.85,65.32,52.3,NORMAL,C,05/25/2026 00:59:11
TRF-0007,Mecca-Haram,230.03,116.74,59.97,26.85,59.8,NORMAL,C,20260525T005911
TRF-0008,Medina-Central,237.88,389.75,59.85,92.71,45.8,NORMAL,B,20260525T005911
TRF-0009,Abha-City,221.84,464.15,59.87,102.97,61.8,NORMAL,C,20260525T005912
TRF-0010,Tabuk-Center,222.84,259.14,60.16,57.75,62.5,NORMAL,A,20260525T005912
TRF-0001,Riyadh-North,228.44,100.42,59.98,22.94,51.7,NORMAL,B,2026/05/25 00:59:12
TRF-0002,Riyadh-East,222.59,312.05,59.96,69.46,63.6,NORMAL,A,20260525T005912
TRF-0003,Jeddah-Main,228.15,138.82,59.82,31.67,30.4,NORMAL,C,2026-05-25 00:59:12
TRF-0004,Jeddah-Industrial,237.7,,60.16,90.52,44.0,NORMAL,B,2026/05/25 00:59:12
TRF-0005,Dammam-Central,221.63,112.23,60.04,24.87,,NORMAL,A,2026-05-25 00:59:12
TRF-0006,Dammam-Port,233.84,192.54,60.14,45.02,46.5,NORMAL,A,2026/05/25 00:59:12
TRF-0007,Mecca-Haram,231.53,111.83,59.84,25.89,38.1,NORMAL,A,20260525T005912
TRF-0008,Medina-Central,238.15,195.35,59.9,46.52,43.4,NORMAL,A,25-05-2026 00:59
TRF-0009,Abha-City,229.71,161.12,60.16,37.01,37.9,NORMAL,C,20260525T005912
TRF-0010,Tabuk-Center,227.22,362.35,59.94,82.33,49.3,NORMAL,A,2026-05-25 00:59:12
TRF-0001,Riyadh-North,221.3,393.1,60.03,86.99,61.5,NORMAL,C,25-05-2026 00:59
TRF-0002,Riyadh-East,231.71,185.63,59.96,43.01,40.9,NORMAL,C,05/25/2026 00:59:12
TRF-0003,Jeddah-Main,239.4,127.89,59.82,30.62,55.9,NORMAL,C,2026-05-25 00:59:12
TRF-0004,Jeddah-Industrial,229.01,498.66,59.96,114.2,39.6,NORMAL,B,2026-05-25 00:59:12
TRF-0005,Dammam-Central,235.27,275.67,59.86,64.86,56.1,NORMAL,A,05/25/2026 00:59:12
TRF-0006,Dammam-Port,237.9,391.28,59.91,93.09,40.7,NORMAL,B,2026/05/25 00:59:12
TRF-0007,Mecca-Haram,239.13,259.48,60.04,62.05,30.6,NORMAL,A,25-05-2026 00:59
TRF-0008,Medina-Central,235.77,224.12,60.01,52.84,32.0,NORMAL,B,05/25/2026 00:59:12
TRF-0009,Abha-City,238.27,377.38,60.05,89.92,53.4,NORMAL,C,05/25/2026 00:59:12
TRF-0010,Tabuk-Center,238.99,297.76,64.14,71.16,59.2,FREQ_DRIFT,B,05/25/2026 00:59:12
TRF-0001,Riyadh-North,222.78,237.76,59.8,52.97,30.0,NORMAL,A,2026-05-25 00:59:12
TRF-0002,Riyadh-East,237.31,183.55,60.1,43.56,36.0,NORMAL,B,05/25/2026 00:59:12
TRF-0003,Jeddah-Main,220.4,376.6,60.07,83.0,50.6,NORMAL,C,25-05-2026 00:59
TRF-0004,Jeddah-Industrial,236.85,165.42,60.2,39.18,62.4,NORMAL,A,2026-05-25 00:59:12
TRF-0005,Dammam-Central,234.84,420.6,60.03,98.77,42.0,NORMAL,A,05/25/2026 00:59:12
TRF-0006,Dammam-Port,235.6,242.1,60.07,57.04,50.2,NORMAL,A,2026-05-25 00:59:12
TRF-0007,Mecca-Haram,239.81,200.37,59.87,48.05,51.8,NORMAL,A,25-05-2026 00:59
TRF-0008,Medina-Central,239.68,335.08,60.14,80.31,53.1,NORMAL,A,20260525T005912
TRF-0009,Abha-City,231.72,433.53,59.87,100.46,63.4,NORMAL,C,20260525T005912
TRF-0010,Tabuk-Center,224.01,123.76,59.95,27.72,39.0,NORMAL,C,05/25/2026 00:59:12
;;;;;
TRF-0001,Riyadh-North,223.4,149.12,60.15,33.31,45.5,NORMAL,A,25-05-2026 00:59
TRF-0002,Riyadh-East,238.42,140.35,60.11,33.46,58.2,NORMAL,A,2026/05/25 00:59:12
TRF-0003,Jeddah-Main,223.87,179.83,60.2,40.26,36.0,NORMAL,A,2026/05/25 00:59:12
TRF-0004,Jeddah-Industrial,223.25,346.78,59.9,77.42,64.5,NORMAL,A,25-05-2026 00:59
TRF-0005,Dammam-Central,234.75,0.0,60.05,0.0,34.9,OUTAGE,A,05/25/2026 00:59:12
TRF-0006,Dammam-Port,220.46,275.92,60.02,60.83,30.0,NORMAL,B,20260525T005912
TRF-0007,Mecca-Haram,223.65,348.8,60.13,78.01,60.9,NORMAL,C,05/25/2026 00:59:12
TRF-0008,Medina-Central,236.82,461.99,60.17,109.41,40.7,NORMAL,C,05/25/2026 00:59:12
TRF-0009,Abha-City,229.15,426.78,60.19,97.8,52.4,NORMAL,A,2026-05-25 00:59:12
